Chapter,Adjective,Narrator
2,violent,Victor Frankenstein
2,terrible,Victor Frankenstein
2,frightful,Victor Frankenstein
2,various,Victor Frankenstein
2,sudden,Victor Frankenstein
2,old,Victor Frankenstein
2,beautiful,Victor Frankenstein
2,dazzling,Victor Frankenstein
2,next,Victor Frankenstein
2,singular,Victor Frankenstein
2,thin,Victor Frankenstein
2,unacquainted,Victor Frankenstein
2,obvious,Victor Frankenstein
2,great,Victor Frankenstein
2,natural,Victor Frankenstein
2,new,Victor Frankenstein
2,astonishing,Victor Frankenstein
2,accustomed,Victor Frankenstein
2,despicable,Victor Frankenstein
2,subject,Victor Frankenstein
2,early,Victor Frankenstein
2,former,Victor Frankenstein
2,natural,Victor Frankenstein
2,deformed,Victor Frankenstein
2,abortive,Victor Frankenstein
2,greatest,Victor Frankenstein
2,real,Victor Frankenstein
2,secure,Victor Frankenstein
2,worthy,Victor Frankenstein
2,such,Victor Frankenstein
2,slight,Victor Frankenstein
2,miraculous,Victor Frankenstein
2,immediate,Victor Frankenstein
2,guardian,Victor Frankenstein
2,last,Victor Frankenstein
2,ready,Victor Frankenstein
2,unusual,Victor Frankenstein
2,ancient,Victor Frankenstein
2,latterly,Victor Frankenstein
2,tormenting,Victor Frankenstein
2,strong,Victor Frankenstein
2,ineffectual,Victor Frankenstein
2,potent,Victor Frankenstein
2,immutable,Victor Frankenstein
2,utter,Victor Frankenstein
2,terrible,Victor Frankenstein
3,necessary,Victor Frankenstein
3,other,Victor Frankenstein
3,native,Victor Frankenstein
3,early,Victor Frankenstein
3,first,Victor Frankenstein
3,future,Victor Frankenstein
3,scarlet,Victor Frankenstein
3,severe,Victor Frankenstein
3,greatest,Victor Frankenstein
3,many,Victor Frankenstein
3,watchful,Victor Frankenstein
3,fatal,Victor Frankenstein
3,third,Victor Frankenstein
3,alarming,Victor Frankenstein
3,medical,Victor Frankenstein
3,worst,Victor Frankenstein
3,deathbed,Victor Frankenstein
3,best,Victor Frankenstein
3,firmest,Victor Frankenstein
3,future,Victor Frankenstein
3,younger,Victor Frankenstein
3,happy,Victor Frankenstein
3,beloved,Victor Frankenstein
3,hard,Victor Frankenstein
3,irreparable,Victor Frankenstein
3,very,Victor Frankenstein
3,own,Victor Frankenstein
3,beloved,Victor Frankenstein
3,familiar,Victor Frankenstein
3,dear,Victor Frankenstein
3,more,Victor Frankenstein
3,first,Victor Frankenstein
3,actual,Victor Frankenstein
3,rude,Victor Frankenstein
3,dear,Victor Frankenstein
3,dead,Victor Frankenstein
3,fortunate,Victor Frankenstein
3,akin,Victor Frankenstein
3,new,Victor Frankenstein
3,less,Victor Frankenstein
3,unwilling,Victor Frankenstein
3,sweet,Victor Frankenstein
3,enchanting,Victor Frankenstein
3,own,Victor Frankenstein
3,last,Victor Frankenstein
3,vain,Victor Frankenstein
3,narrow,Victor Frankenstein
3,minded,Victor Frankenstein
3,liberal,Victor Frankenstein
3,little,Victor Frankenstein
3,restrained,Victor Frankenstein
3,firm,Victor Frankenstein
3,miserable,Victor Frankenstein
3,other,Victor Frankenstein
3,other,Victor Frankenstein
3,last,Victor Frankenstein
3,feminine,Victor Frankenstein
3,melancholy,Victor Frankenstein
3,amiable,Victor Frankenstein
3,mutual,Victor Frankenstein
